,website,IP,mydig avg,local DNS avg,google DNS avg
8,360.cn,36.99.170.84,1.076370549,0.085,0.123
10,amazon.com,176.32.103.205,0.087067223,0.011111111,0.011666667
3,baidu.com,220.181.38.251,0.419250321,0.014285714,0.01
6,facebook.com,157.240.241.35,0.104129577,0.017,0.01
0,google.com,142.250.65.238,0.055109239,0.02,0.014
23,google.com.hk,142.250.80.35,0.326726556,0.028333333,0.017
20,instagram.com,157.240.229.174,0.062735724,0.013333333,0.01
9,jd.com,211.144.27.126,0.817874956,0.017,0.10625
17,live.com,204.79.197.212,0.049907637,0.015,0.01
21,microsoft.com,104.215.148.63,0.050308347,0.023333333,0.01
18,netflix.com,54.160.93.182,0.062689471,0.026,0.022
22,office.com,13.107.6.156,0.109501028,0.019,0.01
24,panda.tv,185.199.111.153,4.386329889,0.05,0.182
4,qq.com,123.151.137.18,0.33007369,0.011,0.01
19,reddit.com,151.101.1.140,0.115300846,0.014,0.01
14,sina.com.cn,123.125.104.150,0.522264838,0.251,0.267
5,sohu.com,211.159.191.77,0.290069556,0.158571429,0.234
7,taobao.com,140.205.220.96,0.113609743,0.05625,0.083
2,tmall.com,140.205.94.193,0.108930111,0.07375,0.174
13,weibo.com,36.51.254.228,0.315527964,0.262,0.326
12,wikipedia.org,208.80.154.224,0.077194142,0.0175,0.016
16,xinhuanet.com,202.108.119.193,0.940287852,0.02,0.045714286
11,yahoo.com,74.6.143.25,0.105128574,0.011666667,0.01
1,youtube.com,142.250.176.206,0.055379486,0.253333333,0.021
15,zoom.us,3.235.71.132,0.112772655,0.03,0.021
